RMSE,MAE,SMAPE,R2,variant,test_battery
0.14643257589557335,0.1199235371008643,34.36741643995876,0.744446356725003,SAN_TCN_3SVR,B0036
0.09894507384026545,0.08257246627971986,28.797558446027775,0.8833203745160768,NoSAN_TCN_3SVR,B0036
0.10635892542641641,0.08805220436536101,29.29514021026645,0.8651799281213962,PCA_TCN_3SVR,B0036
0.10214017414744019,0.08652921205477569,28.820033762364865,0.8756631500094632,WHITEN_TCN_3SVR,B0036
0.11169799609195111,0.09279738696799357,31.331231241671862,0.8513046333524645,SAN_noTCN_3SVR,B0036
0.42188543839807063,0.36019849977247914,71.70433144343626,-1.1212689939748524,SAN_TCN_1SVR,B0036
0.10056532703712094,0.08324270716202563,26.852198131296696,0.8760779553732148,SAN_TCN_3SVR,B0038
0.10015216634037256,0.08219386361202496,25.465181544764707,0.8770941017096581,NoSAN_TCN_3SVR,B0038
0.12261800982542898,0.10387651054963158,46.12198812774114,0.8157699136150877,PCA_TCN_3SVR,B0038
0.10373722992976449,0.08714487963231136,28.046355969886413,0.8681374944113618,WHITEN_TCN_3SVR,B0038
0.10018652539977564,0.0822007604899632,25.46672007321067,0.8770097569452437,SAN_noTCN_3SVR,B0038
0.49174202389240573,0.4464483921972298,87.28918841328087,-1.962966071962538,SAN_TCN_1SVR,B0038
0.11033174157699067,0.09134196152918705,29.222440608155438,0.8508397931659066,SAN_TCN_3SVR,B0039
0.09107289018279266,0.07380288350464906,25.5581253111268,0.8983680477677712,NoSAN_TCN_3SVR,B0039
0.11993794483294187,0.10056068896747071,34.653830830023594,0.8237353449216651,PCA_TCN_3SVR,B0039
0.10750542170320355,0.0899977229818211,28.59013838499926,0.8583838563148318,WHITEN_TCN_3SVR,B0039
0.117626509861124,0.09861140428760302,27.331643074797846,0.8304637970995606,SAN_noTCN_3SVR,B0039
0.4636402315707016,0.44489028567930206,85.11224415965508,-1.6339908258220128,SAN_TCN_1SVR,B0039
0.12842922974555487,0.10270079132044864,29.800429051198577,0.7978937306349383,SAN_TCN_3SVR,B0040
0.09749132611754262,0.07864479763191243,24.016653826306662,0.8835380692823762,NoSAN_TCN_3SVR,B0040
0.12836566686296175,0.10846833271292093,32.13254408447314,0.7980937361644855,PCA_TCN_3SVR,B0040
0.11262745932109536,0.09536313936560206,29.56295944775788,0.8445679394551127,WHITEN_TCN_3SVR,B0040
0.09749762054206075,0.07862706755559097,23.928339743759032,0.8835230303137627,SAN_noTCN_3SVR,B0040
0.44920797606234664,0.416161948130296,83.12409443399159,-1.472560617947115,SAN_TCN_1SVR,B0040
0.11963847787133719,0.10004387443462932,31.843048763100796,0.8345028851797238,SAN_TCN_3SVR,B0041
0.12069424918766443,0.09829260264716058,31.55609570184038,0.8315690788439802,NoSAN_TCN_3SVR,B0041
0.10577080666839406,0.08777572296150175,29.725904668225592,0.8706458691955135,PCA_TCN_3SVR,B0041
0.08953775540964516,0.07757279537113085,28.0879991417407,0.9073039827023828,WHITEN_TCN_3SVR,B0041
0.12079552995524057,0.09838680664601082,31.57785126285925,0.8312862820983545,SAN_noTCN_3SVR,B0041
0.29236857410947586,0.24376779752760622,60.120907304550755,0.011651634591390958,SAN_TCN_1SVR,B0041
0.13689385579430016,0.10657656963091787,35.52679891476573,0.7775842988458845,SAN_TCN_3SVR,B0042
0.10203880151984242,0.07726054865028036,28.659096695234137,0.87642568030383,NoSAN_TCN_3SVR,B0042
0.1982655000638667,0.1506606760424837,52.80410070341333,0.5334568367356065,PCA_TCN_3SVR,B0042
0.09960955776174836,0.08511683433443554,29.516886219278515,0.8822395235542047,WHITEN_TCN_3SVR,B0042
0.08920337410070113,0.07118549376147167,25.903041691227834,0.9055591050838572,SAN_noTCN_3SVR,B0042
0.2245333675418756,0.18626089357620015,49.16957851025615,0.4016444687156262,SAN_TCN_1SVR,B0042
0.08628870302637243,0.07102139623173806,25.186470209519058,0.9116298864928268,SAN_TCN_3SVR,B0043
0.08651925033236087,0.07349870157010126,26.919759921710604,0.9111570387626706,NoSAN_TCN_3SVR,B0043
0.08301668071978086,0.06605456718852994,23.649510182456687,0.9182047168910419,PCA_TCN_3SVR,B0043
0.09813704414470681,0.0831146586963922,29.49845804019401,0.8856954610489252,WHITEN_TCN_3SVR,B0043
0.08648526046585599,0.07347207349738114,26.899348177469854,0.9112268305653209,SAN_noTCN_3SVR,B0043
0.227474114093142,0.17784278746176202,46.950418602801925,0.38586832877840094,SAN_TCN_1SVR,B0043
0.07458910986300119,0.06258582341058957,23.195990402284036,0.9339689232993751,SAN_TCN_3SVR,B0044
0.08833950397403457,0.06536111218708694,24.844159905094063,0.9073794313761588,NoSAN_TCN_3SVR,B0044
0.09080866375414652,0.07489445813098829,25.47763477415831,0.9021294338947832,PCA_TCN_3SVR,B0044
0.09728595486526455,0.08354845319055444,28.85517609513945,0.8876694663928479,WHITEN_TCN_3SVR,B0044
